ADANIENSOL | ROE | Source=8.59 | Computed=18.87 | Difference=10.28 | Category=Version Difference
ADANIENSOL | ROCE | Source=9.0 | Computed=17.82 | Difference=8.82 | Category=Formula Discrepancy
ADANIGREEN | ROCE | Source=96.5 | Computed=12.23 | Difference=84.27 | Category=Formula Discrepancy
ADANIPORTS | ROE | Source=18.1 | Computed=25.63 | Difference=7.53 | Category=Version Difference
ADANIPORTS | ROCE | Source=12.9 | Computed=18.49 | Difference=5.59 | Category=Formula Discrepancy
ADANIPOWER | ROE | Source=57.1 | Computed=48.28 | Difference=8.82 | Category=Version Difference
AMBUJACEM | ROE | Source=9.24 | Computed=14.77 | Difference=5.53 | Category=Version Difference
AMBUJACEM | ROCE | Source=12.8 | Computed=28.7 | Difference=15.9 | Category=Formula Discrepancy
APOLLOHOSP | ROE | Source=13.81 | Computed=19.7 | Difference=5.89 | Category=Version Difference
APOLLOHOSP | ROCE | Source=17.2 | Computed=26.39 | Difference=9.19 | Category=Formula Discrepancy
ASIANPAINT | ROCE | Source=41.75 | Computed=50.92 | Difference=9.17 | Category=Formula Discrepancy
ATGL | ROE | Source=20.5 | Computed=29.64 | Difference=9.14 | Category=Version Difference
ATGL | ROCE | Source=21.2 | Computed=34.36 | Difference=13.16 | Category=Formula Discrepancy
BAJAJ-AUTO | ROE | Source=26.5 | Computed=38.85 | Difference=12.35 | Category=Version Difference
BAJAJ-AUTO | ROCE | Source=33.5 | Computed=54.35 | Difference=20.85 | Category=Formula Discrepancy
BAJAJFINSV | ROE | Source=11.72 | Computed=28.38 | Difference=16.66 | Category=Version Difference
BAJFINANCE | ROCE | Source=11.9 | Computed=6.44 | Difference=5.46 | Category=Formula Discrepancy
BEL | ROE | Source=26.3 | Computed=17100.0 | Difference=17073.7 | Category=Version Difference
BEL | ROCE | Source=34.6 | Computed=5313.51 | Difference=5278.91 | Category=Formula Discrepancy
BHARTIARTL | ROCE | Source=13.1 | Computed=28.29 | Difference=15.19 | Category=Formula Discrepancy
BHEL | ROE | Source=1.05 | Computed=21.91 | Difference=20.86 | Category=Version Difference
BHEL | ROCE | Source=3.28 | Computed=31.93 | Difference=28.65 | Category=Formula Discrepancy
BOSCHLTD | ROCE | Source=20.6 | Computed=33.76 | Difference=13.16 | Category=Formula Discrepancy
BPCL | ROE | Source=41.9 | Computed=35.51 | Difference=6.39 | Category=Version Difference
BRITANNIA | ROE | Source=57.1 | Computed=65.53 | Difference=8.43 | Category=Version Difference
BRITANNIA | ROCE | Source=48.9 | Computed=78.99 | Difference=30.09 | Category=Formula Discrepancy
CHOLAFIN | ROCE | Source=10.4 | Computed=4.91 | Difference=5.49 | Category=Formula Discrepancy
CIPLA | ROCE | Source=22.8 | Computed=78.7 | Difference=55.9 | Category=Formula Discrepancy
COALINDIA | ROE | Source=52.0 | Computed=66.01 | Difference=14.01 | Category=Version Difference
COALINDIA | ROCE | Source=63.6 | Computed=349.82 | Difference=286.22 | Category=Formula Discrepancy
DABUR | ROE | Source=19.2 | Computed=36.56 | Difference=17.36 | Category=Version Difference
DABUR | ROCE | Source=22.3 | Computed=38.29 | Difference=15.99 | Category=Formula Discrepancy
DIVISLAB | ROE | Source=12.2 | Computed=26.23 | Difference=14.03 | Category=Version Difference
DIVISLAB | ROCE | Source=16.5 | Computed=36.42 | Difference=19.92 | Category=Formula Discrepancy
DLF | ROE | Source=6.95 | Computed=12.68 | Difference=5.73 | Category=Version Difference
DLF | ROCE | Source=5.74 | Computed=22.92 | Difference=17.18 | Category=Formula Discrepancy
DMART | ROE | Source=14.5 | Computed=21.04 | Difference=6.54 | Category=Version Difference
DMART | ROCE | Source=19.4 | Computed=28.21 | Difference=8.81 | Category=Formula Discrepancy
EICHERMOT | ROE | Source=24.2 | Computed=36.63 | Difference=12.43 | Category=Version Difference
EICHERMOT | ROCE | Source=31.1 | Computed=54.84 | Difference=23.74 | Category=Formula Discrepancy
GAIL | ROE | Source=14.0 | Computed=19.31 | Difference=5.31 | Category=Version Difference
GAIL | ROCE | Source=14.7 | Computed=24.66 | Difference=9.96 | Category=Formula Discrepancy
GODREJCP | ROE | Source=6.77 | Computed=32.23 | Difference=25.46 | Category=Version Difference
GRASIM | ROE | Source=6.9 | Computed=19.22 | Difference=12.32 | Category=Version Difference
GRASIM | ROCE | Source=9.3 | Computed=23.1 | Difference=13.8 | Category=Formula Discrepancy
HAL | ROE | Source=28.9 | Computed=3816.58 | Difference=3787.68 | Category=Version Difference
HAL | ROCE | Source=38.9 | Computed=3882.42 | Difference=3843.52 | Category=Formula Discrepancy
HAVELLS | ROE | Source=18.0 | Computed=42.95 | Difference=24.95 | Category=Version Difference
HAVELLS | ROCE | Source=24.4 | Computed=55.2 | Difference=30.8 | Category=Formula Discrepancy
HCLTECH | ROE | Source=23.3 | Computed=33.39 | Difference=10.09 | Category=Version Difference
HCLTECH | ROCE | Source=29.6 | Computed=42.36 | Difference=12.76 | Category=Formula Discrepancy
HDFCLIFE | ROE | Source=11.4 | Computed=37.6 | Difference=26.2 | Category=Version Difference
HDFCLIFE | ROCE | Source=6.61 | Computed=1036.76 | Difference=1030.15 | Category=Formula Discrepancy
HEROMOTOCO | ROE | Source=22.0 | Computed=37.38 | Difference=15.38 | Category=Version Difference
HEROMOTOCO | ROCE | Source=29.1 | Computed=367.97 | Difference=338.87 | Category=Formula Discrepancy
HINDALCO | ROE | Source=10.2 | Computed=17.56 | Difference=7.36 | Category=Version Difference
HINDALCO | ROCE | Source=11.3 | Computed=129.3 | Difference=118.0 | Category=Formula Discrepancy
HINDUNILVR | ROE | Source=20.2 | Computed=134.0 | Difference=113.8 | Category=Version Difference
HINDUNILVR | ROCE | Source=27.2 | Computed=788.93 | Difference=761.73 | Category=Formula Discrepancy
ICICIGI | ROCE | Source=22.5 | Computed=223.9 | Difference=201.4 | Category=Formula Discrepancy
ICICIPRULI | ROE | Source=8.07 | Computed=38.25 | Difference=30.18 | Category=Version Difference
ICICIPRULI | ROCE | Source=8.75 | Computed=810.67 | Difference=801.92 | Category=Formula Discrepancy
INDIGO | ROCE | Source=24.5 | Computed=58086.96 | Difference=58062.46 | Category=Formula Discrepancy
INFY | ROCE | Source=40.0 | Computed=45.2 | Difference=5.2 | Category=Formula Discrepancy
IRCTC | ROCE | Source=53.8 | Computed=60.7 | Difference=6.9 | Category=Formula Discrepancy
ITC | ROCE | Source=34.76 | Computed=51.9 | Difference=17.14 | Category=Formula Discrepancy
JINDALSTEL | ROCE | Source=13.2 | Computed=27.84 | Difference=14.64 | Category=Formula Discrepancy
JSWENERGY | ROE | Source=8.4 | Computed=18.06 | Difference=9.66 | Category=Version Difference
JSWENERGY | ROCE | Source=8.59 | Computed=22.72 | Difference=14.13 | Category=Formula Discrepancy
JSWSTEEL | ROE | Source=11.66 | Computed=31.11 | Difference=19.45 | Category=Version Difference
JSWSTEEL | ROCE | Source=13.36 | Computed=29.18 | Difference=15.82 | Category=Formula Discrepancy
LICI | ROE | Source=63.61 | Computed=324.32 | Difference=260.71 | Category=Version Difference
LICI | ROCE | Source=63.79 | Computed=182.46 | Difference=118.67 | Category=Formula Discrepancy
LODHA | ROE | Source=10.7 | Computed=42.8 | Difference=32.1 | Category=Version Difference
LT | ROE | Source=10.49 | Computed=395.15 | Difference=384.66 | Category=Version Difference
LT | ROCE | Source=17.18 | Computed=896.69 | Difference=879.51 | Category=Formula Discrepancy
LTIM | ROE | Source=26.04 | Computed=61.86 | Difference=35.82 | Category=Version Difference
LTIM | ROCE | Source=34.1 | Computed=79.3 | Difference=45.2 | Category=Formula Discrepancy
M&M | ROCE | Source=26.98 | Computed=20.46 | Difference=6.52 | Category=Formula Discrepancy
MARUTI | ROCE | Source=23.67 | Computed=34.13 | Difference=10.46 | Category=Formula Discrepancy
MOTHERSON | ROE | Source=11.8 | Computed=40.35 | Difference=28.55 | Category=Version Difference
MOTHERSON | ROCE | Source=13.7 | Computed=36.14 | Difference=22.44 | Category=Formula Discrepancy
NAUKRI | ROE | Source=2.44 | Computed=74.71 | Difference=72.27 | Category=Version Difference
NAUKRI | ROCE | Source=3.65 | Computed=82.38 | Difference=78.73 | Category=Formula Discrepancy
NESTLEIND | ROE | Source=135.61 | Computed=121.96 | Difference=13.65 | Category=Version Difference
NESTLEIND | ROCE | Source=185.43 | Computed=168.02 | Difference=17.41 | Category=Formula Discrepancy
NHPC | ROCE | Source=7.67 | Computed=14.78 | Difference=7.11 | Category=Formula Discrepancy
ONGC | ROCE | Source=19.71 | Computed=28.28 | Difference=8.57 | Category=Formula Discrepancy
PFC | ROE | Source=19.49 | Computed=26.82 | Difference=7.33 | Category=Version Difference
PFC | ROCE | Source=9.96 | Computed=4.09 | Difference=5.87 | Category=Formula Discrepancy
PIDILITIND | ROE | Source=22.8 | Computed=30.59 | Difference=7.79 | Category=Version Difference
PIDILITIND | ROCE | Source=29.7 | Computed=46.14 | Difference=16.44 | Category=Formula Discrepancy
PNB | ROE | Source=8.7 | Computed=812.3 | Difference=803.6 | Category=Version Difference
POWERGRID | ROCE | Source=13.2 | Computed=19.22 | Difference=6.02 | Category=Formula Discrepancy
SBILIFE | ROE | Source=12.0 | Computed=23.03 | Difference=11.03 | Category=Version Difference
SBILIFE | ROCE | Source=13.2 | Computed=26.28 | Difference=13.08 | Category=Formula Discrepancy
SHREECEM | ROE | Source=12.2 | Computed=26.12 | Difference=13.92 | Category=Version Difference
SHREECEM | ROCE | Source=14.8 | Computed=34.06 | Difference=19.26 | Category=Formula Discrepancy
SHRIRAMFIN | ROCE | Source=11.3 | Computed=5.37 | Difference=5.93 | Category=Formula Discrepancy
SIEMENS | ROE | Source=19.1 | Computed=42.83 | Difference=23.73 | Category=Version Difference
SIEMENS | ROCE | Source=25.6 | Computed=61.17 | Difference=35.57 | Category=Formula Discrepancy
SUNPHARMA | ROE | Source=16.7 | Computed=23.14 | Difference=6.44 | Category=Version Difference
SUNPHARMA | ROCE | Source=17.3 | Computed=30.78 | Difference=13.48 | Category=Formula Discrepancy
TATAMOTORS | ROE | Source=49.4 | Computed=37.46 | Difference=11.94 | Category=Version Difference
TATAMOTORS | ROCE | Source=20.1 | Computed=33.93 | Difference=13.83 | Category=Formula Discrepancy
TATAPOWER | ROCE | Source=11.1 | Computed=16.45 | Difference=5.35 | Category=Formula Discrepancy
TATASTEEL | ROE | Source=6.55 | Computed=36.48 | Difference=29.93 | Category=Version Difference
TATASTEEL | ROCE | Source=7.02 | Computed=34.1 | Difference=27.08 | Category=Formula Discrepancy
TCS | ROE | Source=0.52 | Computed=50.94 | Difference=50.42 | Category=Version Difference
TECHM | ROE | Source=8.63 | Computed=33.35 | Difference=24.72 | Category=Version Difference
TECHM | ROCE | Source=11.9 | Computed=46.27 | Difference=34.37 | Category=Formula Discrepancy
TITAN | ROCE | Source=22.7 | Computed=56.5 | Difference=33.8 | Category=Formula Discrepancy
TORNTPHARM | ROE | Source=24.2 | Computed=49.6 | Difference=25.4 | Category=Version Difference
TORNTPHARM | ROCE | Source=23.2 | Computed=47.3 | Difference=24.1 | Category=Formula Discrepancy
TRENT | ROE | Source=27.2 | Computed=36.31 | Difference=9.11 | Category=Version Difference
TRENT | ROCE | Source=23.8 | Computed=50.85 | Difference=27.05 | Category=Formula Discrepancy


===== DAY 14 EXTREME ROE REVIEW =====
BEL | ROE | Source=26.3 | Computed=4744.05 | Category=Data Source Issue | Explanation=Extreme ROE caused by unusually small reported equity denominator relative to net profit. Requires source balance-sheet unit review.
HAL | ROE | Source=28.9 | Computed=3816.58 | Category=Data Source Issue | Explanation=Extreme ROE caused by unusually small reported equity denominator relative to net profit. Requires source balance-sheet unit review.
INDIGO | ROE | Source=nan | Computed=892.57 | Category=Data Source Issue | Explanation=Extreme ROE caused by unusually small reported equity denominator relative to net profit. Requires source balance-sheet unit review.
